[0000003399ns] mem wr: pc = 1c000050, addr = 1c0800c8, data = 2c732520
[0000003437ns] mem rd: pc = 1c000060, addr = 1c0099ac, data = 64412020
[0000003463ns] mem wr: pc = 1c000050, addr = 1c0800cc, data = 64412020
[0000003501ns] mem rd: pc = 1c000060, addr = 1c0099b0, data = 73657264
[0000003519ns] mem wr: pc = 1c000050, addr = 1c0800d0, data = 73657264
[0000003567ns] mem rd: pc = 1c000060, addr = 1c0099b4, data = 203d2073
[0000003583ns] mem wr: pc = 1c000050, addr = 1c0800d4, data = 203d2073
[0000003627ns] mem rd: pc = 1c000060, addr = 1c0099b8, data = 78257830
[0000003643ns] mem wr: pc = 1c000050, addr = 1c0800d8, data = 78257830
[0000003685ns] mem rd: pc = 1c000060, addr = 1c0099bc, data = 0000000a
[0000003705ns] mem wr: pc = 1c000050, addr = 1c0800dc, data = 0000000a
[0000003747ns] mem rd: pc = 1c000060, addr = 1c0099c0, data = 000a7325
[0000003761ns] mem wr: pc = 1c000050, addr = 1c0800e0, data = 000a7325
[0000003801ns] mem rd: pc = 1c000060, addr = 1c0099c4, data = 00000000
[0000003815ns] mem wr: pc = 1c000050, addr = 1c0800e4, data = 00000000
[0000003857ns] mem rd: pc = 1c000060, addr = 1c0099c8, data = 80000000
[0000003871ns] mem wr: pc = 1c000050, addr = 1c0800e8, data = 80000000
[0000003919ns] mem rd: pc = 1c000060, addr = 1c0099cc, data = 400a0d1b
[0000003945ns] mem wr: pc = 1c000050, addr = 1c0800ec, data = 400a0d1b
[0000003983ns] mem rd: pc = 1c000060, addr = 1c0099d0, data = c2e33eff
[0000003997ns] mem wr: pc = 1c000050, addr = 1c0800f0, data = c2e33eff
[0000004041ns] mem rd: pc = 1c000060, addr = 1c0099d4, data = 40b56679
[0000004055ns] mem wr: pc = 1c000050, addr = 1c0800f4, data = 40b56679
[0000004097ns] mem rd: pc = 1c000060, addr = 1c0099d8, data = 00464e49
[0000004113ns] mem wr: pc = 1c000050, addr = 1c0800f8, data = 00464e49
[0000004151ns] mem rd: pc = 1c000060, addr = 1c0099dc, data = 00666e69
[0000004165ns] mem wr: pc = 1c000050, addr = 1c0800fc, data = 00666e69
[0000004203ns] mem rd: pc = 1c000060, addr = 1c0099e0, data = 004e414e
[0000004225ns] mem wr: pc = 1c000050, addr = 1c080100, data = 004e414e
[0000004267ns] mem rd: pc = 1c000060, addr = 1c0099e4, data = 006e616e
[0000004281ns] mem wr: pc = 1c000050, addr = 1c080104, data = 006e616e
[0000004319ns] mem rd: pc = 1c000060, addr = 1c0099e8, data = 33323130
[0000004343ns] mem wr: pc = 1c000050, addr = 1c080108, data = 33323130
[0000004387ns] mem rd: pc = 1c000060, addr = 1c0099ec, data = 37363534
[0000004405ns] mem wr: pc = 1c000050, addr = 1c08010c, data = 37363534
[0000004447ns] mem rd: pc = 1c000060, addr = 1c0099f0, data = 62613938
[0000004461ns] mem wr: pc = 1c000050, addr = 1c080110, data = 62613938
[0000004507ns] mem rd: pc = 1c000060, addr = 1c0099f4, data = 66656463
[0000004519ns] mem wr: pc = 1c000050, addr = 1c080114, data = 66656463
[0000004557ns] mem rd: pc = 1c000060, addr = 1c0099f8, data = 00000000
[0000004575ns] mem wr: pc = 1c000050, addr = 1c080118, data = 00000000
[0000004617ns] mem rd: pc = 1c000060, addr = 1c0099fc, data = 33323130
[0000004631ns] mem wr: pc = 1c000050, addr = 1c08011c, data = 33323130
[0000004673ns] mem rd: pc = 1c000060, addr = 1c009a00, data = 37363534
[0000004703ns] mem wr: pc = 1c000050, addr = 1c080120, data = 37363534
[0000004747ns] mem rd: pc = 1c000060, addr = 1c009a04, data = 42413938
[0000004761ns] mem wr: pc = 1c000050, addr = 1c080124, data = 42413938
[0000004803ns] mem rd: pc = 1c000060, addr = 1c009a08, data = 46454443
[0000004823ns] mem wr: pc = 1c000050, addr = 1c080128, data = 46454443
[0000004861ns] mem rd: pc = 1c000060, addr = 1c009a0c, data = 00000000
[0000004883ns] mem wr: pc = 1c000050, addr = 1c08012c, data = 00000000
[0000004933ns] mem rd: pc = 1c000060, addr = 1c009a10, data = 6c756e28
[0000004947ns] mem wr: pc = 1c000050, addr = 1c080130, data = 6c756e28
[0000004987ns] mem rd: pc = 1c000060, addr = 1c009a14, data = 0000296c
[0000005003ns] mem wr: pc = 1c000050, addr = 1c080134, data = 0000296c
[0000005041ns] mem rd: pc = 1c000060, addr = 1c009a18, data = 00000030
[0000005055ns] mem wr: pc = 1c000050, addr = 1c080138, data = 00000030
[0000005101ns] mem rd: pc = 1c000060, addr = 1c009a1c, data = 1c001148
[0000005121ns] mem wr: pc = 1c000050, addr = 1c08013c, data = 1c001148
[0000005165ns] mem rd: pc = 1c000060, addr = 1c009a20, data = 1c002230
[0000005183ns] mem wr: pc = 1c000050, addr = 1c080140, data = 1c002230
[0000005231ns] mem rd: pc = 1c000060, addr = 1c009a24, data = 1c002230
[0000005249ns] mem wr: pc = 1c000050, addr = 1c080144, data = 1c002230
[0000005287ns] mem rd: pc = 1c000060, addr = 1c009a28, data = 1c00115c
[0000005303ns] mem wr: pc = 1c000050, addr = 1c080148, data = 1c00115c
[0000005341ns] mem rd: pc = 1c000060, addr = 1c009a2c, data = 1c002230
